station,Modbus 1,Modbus 2,Modbus 3,Modbus 4,Modbus 5,Modbus 6
ใบหยก,TV5,,,TPBS,,
กาญจนบุรี,TV5,MCOT,,TPBS,,
สิงห์บุรี,TV5,MCOT,PRD,TPBS,NT,
อุบลราชธานี,TV5,MCOT,,TPBS,,
มุกดาหาร,TV5,MCOT,PRD,TPBS,,
สกลนคร,TV5,MCOT,,TPBS,,RADIO
สุรินทร์,TV5,MCOT,PRD,TPBS,,
ร้อยเอ็ด,TV5,MCOT,PRD,TPBS,DINDIN,
นครราชสีมา,TV5,MCOT,PRD,TPBS,,
สระแก้ว,TV5,MCOT,PRD,TPBS,,
ระยอง,TV5,MCOT,,TPBS,,
ตราด,TV5,MCOT,PRD,TPBS,,
ชุมพร,TV5,MCOT,PRD,TPBS,,
ระนอง,TV5,MCOT,PRD,TPBS,LOOKTOONG,
สุราษฎร์ธานี,TV5,MCOT,,TPBS,,
ภูเก็ต,TV5,,,TPBS,NANA STUDIO,RADIO LINE
นครศรีธรรมราช,TV5,MCOT,,TPBS,,
สงขลา,TV5,MCOT,,TPBS,,
สตูล,TV5,MCOT,,TPBS,,
ตรัง,TV5,MCOT,,TPBS,,
สุโขทัย,TV5,MCOT,PRD,TPBS,ART,
นครสวรรค์,TV5,,,TPBS,,
เพชรบูรณ์,TV5,MCOT,PRD,TPBS,,
ตาก,TV5,MCOT,,TPBS,,
เชียงใหม่,TV5,MCOT,,TPBS,,
เชียงราย,TV5,,,TPBS,,
แม่ฮ่องสอน,TV5,MCOT,,TPBS,,
แพร่,TV5,MCOT,,TPBS,,
น่าน,TV5,MCOT,PRD,TPBS,,
ขอนแก่น,TV5,MCOT,PRD,TPBS,LOOKTOONG,DINDIN
ชัยภูมิ,TV5,MCOT,,TPBS,,
เลย,TV5,MCOT,,TPBS,BFKT,
อุดรธานี,TV5,,PRD,TPBS,,
บึงกาฬ,TV5,MCOT,,TPBS,NT,
